M,M/N,analytical_N_S,analytical_N_C,approx_N_S,approx_N_C
1,0.16666666666666666,0.16666666666666666,0.0,0.141080287481769,0.012437987627616831
2,0.3333333333333333,0.2777777777777778,0.027777777777777776,0.2388437701912631,0.04462491923494771
3,0.5,0.34722222222222227,0.07407407407407407,0.3032653298563167,0.09020401043104986
4,0.6666666666666666,0.38580246913580246,0.13194444444444445,0.3422780793550613,0.1443048016123467
5,0.8333333333333334,0.40187757201646085,0.1962448559670782,0.36216517375589846,0.20323661773702328
6,1.0,0.40187757201646085,0.263224451303155,0.36787944117144233,0.26424111765711533
7,1.1666666666666667,0.3907143061271148,0.3302040466392318,0.3633037612336973,0.3252930148517049
8,1.3333333333333333,0.37210886297820456,0.3953230976604176,0.351462850820969,0.38494001106330433
9,1.5,0.3488520590420668,0.4573412414901184,0.3346952402226447,0.44217459962892547
10,1.6666666666666667,0.3230111657796914,0.5154832513304629,0.31479267139593636,0.4963317257665018
11,1.8333333333333333,0.29609356863138386,0.569318445627078,0.2931128678127722,0.547007386107534
12,2.0,0.2691759714830762,0.6186673737323086,0.2706705664732254,0.5939941502901619
13,2.1666666666666665,0.243006085366666,0.6635300356461548,0.24821082865082342,0.6372303273564889
14,2.3333333333333335,0.21808238430341823,0.7040310498739325,0.22626792501694512,0.6767601071186498
15,2.5,0.1947164145566234,0.7403781139245021,0.20521249655974702,0.7127025048163542
16,2.6666666666666665,0.17308125738366528,0.7728308496839394,0.18528920326080411,0.7452273455163944
17,2.8333333333333335,0.15324902997512027,0.8016777259145503,0.16664666965355132,0.7745368587040188
18,3.0,0.13521973233098847,0.8272192309104036,0.14936120510359183,0.8008517265285442
19,3.1666666666666665,0.11894328306892506,0.8497558529655684,0.13345550444604196,0.8244006520446816
20,3.3333333333333335,0.1043362132183553,0.8695797334770559,0.11891331115750799,0.8454126954952396
21,3.5,0.0912941865660609,0.8869691023467817,0.10569084197811475,0.8641117745995667
22,3.6666666666666665,0.07970127398624363,0.9021848001077918,0.0937256217571938,0.8807128450362988
23,3.8333333333333335,0.06943671597286377,0.9154683457721658,0.08294325442472351,0.8954193748557834
24,4.0,0.06037975301988154,0.927041131767643,0.07326255555493671,0.9084218055563292
25,4.166666666666667,0.0524129800519805,0.9371044239376234,0.06459938999587214,0.9198967564051186
26,4.333333333333333,0.04542458271171645,0.9458399206129534,0.05686949119341086,0.9300067800696482
27,4.5,0.039309735038985376,0.9534106843982396,0.04999048442209037,0.9389005190396672
28,4.666666666666667,0.033971375959616995,0.9599623069047372,0.04388329190697763,0.9467131455415272
29,4.833333333333333,0.02932053282228848,0.9656242028980068,0.038473061935414506,0.9535669942158792
30,5.0,0.02527632139852455,0.9705109583683881,0.03368973499542734,0.959572318005487
31,5.166666666666667,0.02176572120428503,0.9747236786014755,0.02946833648970491,0.9648281145122878
32,5.333333333333333,0.01872320103594411,0.9783512988021896,0.02574906663376769,0.9694229833724007
33,5.5,0.01609025089026447,0.9814718323081802,0.022477242911552366,0.9734359856499836
34,5.666666666666667,0.013814861875479596,0.984153540789891,0.019603138239966966,0.9769374844235683
35,5.833333333333333,0.011850984452004554,0.9864560177691376,0.017081748219772767,0.9799899520854091
36,6.0,0.010157986673146761,0.9884311818444718,0.014872513059998151,0.9826487347633354
37,6.166666666666667,0.008700127474685885,0.9901241796233294,0.012939013578165565,0.9849627680037535
38,6.333333333333333,0.007446055045902333,0.9915742008691105,0.011248655789651068,0.9869752406646145
39,6.5,0.006368336552416469,0.9928152100434277,0.00977235475435422,0.9887242060526682
40,6.666666666666667,0.005443022694373051,0.9938765994688303,0.008484225342265386,0.9902431408563949
41,6.833333333333333,0.004649248551443648,0.9947837699178925,0.007361285244633506,0.9915614535000543
42,7.0,0.003968870714647015,0.9955586446764665,0.006383173758881614,0.9927049442755639
43,7.166666666666667,0.003386139697020271,0.9962201231289076,0.005531888503544483,0.9936962200773563
44,7.333333333333333,0.0028874059431955802,0.9967844797450778,0.004791541185694124,0.9945550668344385
45,7.5,0.002460857337950779,0.9972657140689435,0.0041481327761087525,0.9952987828537433
46,7.666666666666667,0.0020962858804765895,0.997675856958602,0.003589347889337956,0.9959424762990091
47,7.833333333333333,0.0017848810938840525,0.9980252379386815,0.0031043677706992638,0.9964993299607009
48,8.0,0.0015190477394757893,0.9983227181209955,0.002683701023220095,0.9969808363488774
49,8.166666666666666,0.0012922454728179458,0.9985758927442414,0.002319031035209929,0.9973970059808868
50,8.333333333333334,0.0010988481911717227,0.9987912669897111,0.0020030789701626175,0.9977565515534179
51,8.5,0.0009340209624959643,0.9989744083549064,0.0017294811365904754,0.998067050494399
52,8.666666666666666,0.0007936125825129107,0.9991300785153223,0.0014926795516603546,0.9983350881923788
53,8.833333333333334,0.0006740619691215428,0.9992623472790746,0.0012878245377829888,0.9985663840051094
54,9.0,0.0005723167662352722,0.9993746909405946,0.001110688236780116,0.9987659019591332
55,9.166666666666666,0.0004857626873910489,0.9994700770683006,0.0009575879851239653,0.9989379478710442
56,9.333333333333334,0.000412162280210587,0.9995510375161992,0.0008253185608255749,0.9990862544505146
57,9.5,0.0003496019341071943,0.9996197312295676,0.0007110923839331556,0.9992140557861792
58,9.666666666666666,0.0002964460844768607,0.9996779982185856,0.00061248682538741,0.999324152468538
59,9.833333333333334,0.00025129768655366065,0.9997274058993316,0.0005273978510547574,0.9994189684691769
60,10.0,0.00021296414114717,0.9997692888470907,0.0004539992976248485,0.9995006007726127
