N,P_S,T_a,P_C,M,I_max
5,2.0611539856729272e-08,5.50000032308588,0.9999999567157661,100,10
6,5.777772054119602e-07,5.500007467766874,0.9999989792602554,100,10
7,6.248982965238065e-06,5.500068493018034,0.9999904479814246,100,10
8,3.7273720521578166e-05,5.500353626327527,0.9999496804147745,100,10
9,0.00014955510467532494,5.50124743616406,0.9998188711444062,100,10
10,0.000454836046327066,5.503376388842627,0.9994996710369471,100,10
11,0.001131503572511172,5.507548845189879,0.9988581523765949,100,10
12,0.002422957599028661,5.5146436284112,0.9977383083198904,100,10
13,0.00462707402105679,5.525498958192852,0.995977038626113,100,10
14,0.00808261112917952,5.540834241234297,0.9934154903888995,100,10
15,0.013157225213165416,5.561211973256406,0.9899049389505329,100,10
16,0.020239441413994835,5.58703140551899,0.9853077343220086,100,10
17,0.029735017005335814,5.618540750166168,0.9794947696386387,100,10
18,0.04206705390778973,5.655856033090213,0.9723409277909181,100,10
19,0.05767877304440904,5.698978012652152,0.9637195888772748,100,10
20,0.07703771305244374,5.747801533145762,0.9534968841493966,100,10
21,0.10063996381226584,5.80211345398869,0.941526115165486,100,10
22,0.12901266054786045,5.861575836176432,0.9276426692994921,100,10
23,0.16271213338977758,5.925690582634221,0.9116598765727331,100,10
24,0.20231358049794912,5.9937404756842385,0.8933666080474109,100,10
25,0.24838560485921807,6.064699855281583,0.8725280912220782,100,10
26,0.3014391464234452,6.137106623445338,0.8488925227113823,100,10
27,0.3618353417752549,6.208887118677727,0.8222076682639174,100,10
28,0.42963205203528837,6.277129378130071,0.7922535897135774,100,10
29,0.5043489716344821,6.337813607641697,0.7588990332874836,100,10
30,0.5846477679404345,6.385540172429403,0.7221873556477404,100,10
31,0.6679767090156894,6.413357373886209,0.6824482141287705,100,10
32,0.750338195107489,6.4128934633903905,0.6404075674431531,100,10
33,0.8264803695309262,6.375124977994022,0.5972319570476317,100,10
34,0.8908510667607262,6.292171213932531,0.5544191838729225,100,10
35,0.9393224496604289,6.160233407086981,0.51349271182773,100,10
36,0.9709252767387966,5.98283855459783,0.4756020182596679,100,10
37,0.9882772143414423,5.772117264996604,0.44126903423145053,100,10
38,0.9961055658111371,5.54577591867012,0.4104479549681725,100,10
39,0.9989515630355618,5.320667203135265,0.3827964785047074,100,10
40,0.9997739750337371,5.107626744540194,0.35791521486772154,100,10
41,0.999961279645181,4.910892388125179,0.3354462361699641,100,10
42,0.9999947516709901,4.730632379141367,0.3150849413274282,100,10
43,0.9999994380253355,4.5654738419480285,0.29657277735105386,100,10
44,0.9999999524312269,4.413785801040078,0.27969010344825235,100,10
45,0.9999999968087622,4.274071189668161,0.26424928468933967,100,10
